primary,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,usersrated,AveRating,stddev,usersweighted,AveWeight,Board Game Rank,Strategy Game Rank,Family Game Rank
Unter Geiern,2009,2,6,30,30,30,10,36,5.85556,1.57928,2,1.5,17188,,
Suspend Junior,2014,1,4,15,15,15,4,36,5.79833,1.32013,1,1,17193,,
Tough Calls: Dystopia,2020,3,5,60,45,60,12,37,8.37838,1.27558,2,1,12051,,
Deflection,1981,2,2,20,20,20,7,36,5.7,1.70359,5,1.4,17388,,
Urbis,2015,2,6,60,30,60,10,36,5.20139,2.25526,2,1.5,19444,,
Schlag den Raab: Das Quiz,2012,2,6,60,60,60,12,36,6.68889,1.02002,4,1.75,13760,,
Pacific War Classics Vol 1: Tarawa & Saipan,1992,2,2,180,180,180,12,36,4.63889,2.2749,4,3,19813,,
MONSTArgh!,2018,2,6,25,15,25,6,36,6.61444,1.79443,2,2,14681,,
Switch: Secrets of the Temple,2008,2,6,45,45,45,0,36,4.48889,2.27276,6,2.3333,19420,,
Jeopardy! Card Game,2017,2,4,30,20,30,12,36,6.22778,1.39615,1,1,15825,,
Merry Yard,2014,3,8,0,0,0,6,36,5.73056,1.50625,2,1,17246,,
"Operation Anaconda: Battle in Afghanistan, March 2002",2012,1,2,120,120,120,0,36,6.87778,0.996692,3,1.6667,12940,,
No Retreat 2: The Africa Front 1940-1942,2011,2,2,50,50,50,14,36,7.40833,1.55588,7,2.7143,12018,,
WW2 Deluxe: The War in Europe,2018,2,2,360,120,360,12,36,6.76528,1.91825,7,2.4286,13204,,
18US,2005,2,6,240,240,240,14,36,6.97222,1.61888,5,4.4,12864,,
Classic Battletech RPG,1999,2,6,0,0,0,0,36,6.75,1.6729,1,2,14386,,
Magic: The Gathering – Game Night 2019,2019,2,5,120,10,120,8,37,7.3027,1.57042,0,0,12079,,
Acuity,2010,2,20,10,10,10,6,36,5.80278,1.44443,1,2,17236,,
Pega o Pinguim!,2009,2,4,60,60,60,8,36,6.28833,1.2771,8,1.625,15034,,
In A Bind Jr,2016,3,7,25,10,25,4,36,7.07667,1.78974,1,1,12917,,
Heptalion,2012,2,4,10,10,10,6,36,7.41944,1.19926,3,1.3333,12028,,
30 Seconds Junior,2013,3,20,30,30,30,7,36,6.68741,0.773373,2,1,13792,,
Mythalix,2021,2,4,90,60,90,13,36,7.67778,1.84934,2,2,15835,,
Space Vermin From Beyond!,2016,1,2,120,60,120,12,36,7.41111,1.46644,5,2.2,12003,,
Hatairo,2020,2,4,60,30,60,8,36,7.09583,1.76998,2,2,12865,,
Monopoly Junior: Dig 'n Dinos,2001,2,4,45,45,45,5,36,4.24167,1.77832,0,0,20638,,
OlymPeak,2011,2,6,30,30,30,8,36,5.73056,2.06718,3,2,17489,,
Crazier Eights,2014,2,4,10,10,10,10,36,6.31667,1.94401,3,1,17522,,
Tilt'n Tumble,1997,2,2,10,10,10,6,36,5.625,1.14489,4,1,17713,,
Télos,2021,3,6,30,30,30,10,36,5.84722,2.26636,1,1,17714,,
Mythic Arcana,2018,2,4,30,20,30,13,36,5.70833,1.80806,1,2,17756,,
Dodge City,1983,2,5,60,60,60,8,36,5.59167,1.55856,5,2.6,17776,,
Freche Frösche,2002,2,6,30,30,30,5,36,5.59167,1.48406,1,1,17777,,
Incoming Transmission,2019,2,5,40,30,40,14,36,7.23333,1.5871,1,2,11799,,
100 Swords: The Silver Queen's Dungeon,2017,1,2,0,0,0,13,36,7.34028,1.2207,4,1.5,12555,,
Nix für Ungut!,1996,2,5,45,45,45,10,36,6.24444,1.21116,3,1.3333,15639,,
Scorpion,1983,2,4,20,20,20,10,36,5.58889,1.5479,2,3,17863,,
TransAmerica & Japan,2019,2,6,45,30,45,8,36,6.7025,1.0979,1,2,13998,,
Mind Twist,2007,2,2,30,30,30,8,36,4.475,1.967,5,1.4,20127,,
Hatalom Kártyái Kártyajáték,1995,2,9,0,0,0,8,36,7.18056,2.01781,4,3.75,14738,,
Candy Land Castle,2007,2,4,0,0,0,3,36,4.64722,2.02217,5,1,20117,,
La Criatura,2016,2,15,60,30,60,13,36,4.56667,2.2419,3,2.3333,20114,,
Penalties: Animal Cup,2020,2,2,10,10,10,8,36,6.87639,1.53616,1,1,15117,,
Hemloch: Dark Promenade,2017,2,2,30,20,30,0,36,7.25139,1.00936,0,0,11752,,
The Touch,2002,2,6,45,45,45,0,36,5.45278,1.61684,0,0,17949,,
The First Crusade,2016,1,1,0,0,0,0,36,7.08333,1.35657,4,2.5,12804,,
Bunny Hop,2005,2,5,15,15,15,3,36,4.47778,1.42305,6,1,20102,,
Robotanks,1992,2,4,120,120,120,12,36,5.66667,1.35401,3,2.3333,17712,,
"Triumphant Return: The Soviet Liberation of Kiev, November 1943",1998,1,2,240,240,240,12,36,7.06444,1.06838,10,2.9,12738,,
Hexcalibur,2017,2,2,50,20,50,10,36,6.76306,1.19608,5,2.2,13918,,
Canossa,2006,2,4,30,30,30,10,36,5.68889,0.93416,5,1.8,17588,,
Trainsport: Switzerland,1997,3,5,120,120,120,12,36,6.30889,1.08115,1,3,15055,,
Board and Table Games from Many Civilizations,1960,0,0,0,0,0,12,36,7.47806,1.3942,3,2.3333,11165,,
Serendipity,2008,2,6,45,45,45,0,36,5.05278,1.8545,4,2,19368,,
The Gate of R'lyeh,2018,4,8,60,45,60,12,36,7.12778,1.71571,1,2,12530,,
Lord of the Fries: Superdeluxe Edition,2015,2,8,0,40,0,12,36,6.51389,1.39187,2,2,14697,,
Battle of the Five Armies,1975,2,5,180,180,180,12,36,5.76389,1.68113,7,2.7143,17569,,
Dinosaur Dice,2004,2,4,10,10,10,4,36,5.67556,1.29388,8,1.375,17586,,
La Résistance,2020,3,5,0,0,0,0,36,6.86111,2.12005,6,2.1667,15061,,
Trafalgar,1973,2,4,60,60,60,8,36,6.75,1.63936,7,1.5714,15062,,
Oh Sh*t!,2017,2,6,60,10,60,7,36,6.29167,2.31353,0,0,17667,,
Vietnam Battles: Snoopy's Nose & Iron Triangle,2013,1,3,120,120,120,0,36,7.03889,1.70413,9,2.7778,12817,,
Biber Gang,2020,2,6,15,15,15,8,36,6.66944,1.45923,1,1,13906,,
Khyber Rifles,1984,2,2,120,120,120,12,36,5.27778,1.68096,7,3,19326,,
Apokalypsis,2017,3,6,45,30,45,13,36,5.84167,1.78643,2,2.5,17647,,
Horrific,2004,2,2,0,0,0,10,36,5.79861,2.13179,7,3.2857,17654,,
The Quick and the Undead,2020,1,6,60,45,60,8,36,7.16667,1.66667,1,2,12858,,
Push Over,1981,2,4,20,20,20,6,36,5.01389,1.43607,3,1.3333,19324,,
Hypnose,2017,2,4,90,30,90,10,36,4.55833,2.15785,0,0,20164,,
Kasserine: Baptism of Fire,2010,1,2,60,60,60,12,36,6.55278,1.31455,8,2.25,15025,,
Shelby's Snack Shack Game,0,2,4,0,0,0,4,36,4.88194,1.48895,1,1,19796,,
Breaking Point,1976,2,4,20,20,20,7,36,4.98611,1.33065,0,0,19456,,
World of Draghan: Once Upon a Dragon,2019,1,4,40,20,40,8,36,6.56333,1.92903,1,1,14587,,
Villainous Vikings,2014,2,5,60,60,60,12,36,5.93194,1.7016,5,2.2,16478,,
Ducklings: A Game About Parenting!,2018,2,4,50,15,50,12,36,4.43028,2.13294,3,1,20404,,
Dynamite: The Game,2015,2,8,15,5,15,7,36,6.28917,2.1048,1,1,16483,,
Dracula: El Vampiro del Castillo,1986,2,4,30,30,30,0,36,6.11111,1.17917,3,2,16101,,
Montebello,2006,2,2,120,120,120,10,36,7.43056,1.24807,8,3,12402,,
G.I. Joe Adventure Board Game,1982,2,4,30,30,30,6,36,4.91389,1.74295,3,1.6667,19682,,
Espresso,1995,2,6,60,30,60,6,36,6.16667,1.36931,2,1,16094,,
Disney It's a Small World Game,2021,2,6,0,0,0,4,36,6.425,1.28222,2,1,16093,,
The Top 10 Game,2003,2,12,60,60,60,13,36,4.64722,1.21803,3,1.3333,19756,,
TF22: RELOAD!,2013,2,4,30,30,30,14,36,6.83667,1.07598,4,2.25,13515,,
The King's Men,2016,2,5,45,15,45,8,36,6.84722,1.87757,6,1.3333,14895,,
Rallyman: DIRT,2022,1,6,60,45,60,14,36,7.61114,1.93329,4,2.25,12406,,
Yamy,2010,2,5,30,30,30,7,36,5.95,1.4824,1,1,16573,,
SEVEN,2013,2,2,15,15,15,6,36,7.38667,1.10178,4,2,12237,,
No Regerts: The Game of Art and Poor Life Choices,2016,2,6,0,25,0,8,36,6.45556,1.92013,1,1,16608,,
Feed the ducks,2011,2,4,20,20,20,6,36,7.13889,1.25062,4,1.75,13285,,
NEXUM: Galaxy,2021,1,4,55,25,55,12,36,8.71667,2.01074,1,3,16659,,
LineUp,2010,2,4,0,0,0,8,36,4.83111,1.55638,4,1.75,19605,,
Funkoverse Strategy Game: Alice in Wonderland 100,2021,2,2,60,20,60,0,36,7.5,1.58552,0,0,12219,,
Fate of the Norns: Gulveig,2014,2,4,30,30,30,6,36,6.70556,2.05574,2,2,16666,,
5x15,2020,1,1,20,10,20,8,36,7.27361,1.67479,0,0,12295,,
The Last Starfighter Combat Game,1984,2,10,90,90,90,12,36,5.81944,1.66747,2,1.5,16441,,
Offline,2000,2,4,45,45,45,10,36,5.98611,1.35137,3,2.6667,16440,,
F*ck This!,2003,2,6,30,30,30,18,36,4.83056,2.62613,5,1,19751,,
Iron Man 2: Game of War,2010,2,2,30,30,30,6,36,6.51389,0.931591,5,1,14901,,
Pitt's War,2019,2,2,0,0,0,0,36,7.52778,1.59402,7,3,12370,,
Heroes of the Three Kingdoms,2013,2,4,30,30,30,7,36,6.16111,1.28415,1,1,16226,,
ECO: Coral Reef,0,2,4,60,30,60,12,36,7.9037,2.21387,0,0,12379,,
The Martian Investigations,2015,1,5,120,40,120,15,36,7.21111,0.840892,1,3,12360,,
The Moscow Option: Guderian's Gambit,1996,2,2,0,0,0,12,36,6.39444,1.68258,6,3,16184,,
Aviation Tycoon,2017,2,5,60,60,60,14,36,5.88194,1.68482,2,2,16181,,
Star Quest,1995,2,8,30,30,30,10,36,4.19175,1.32686,4,1.75,20446,,
Destination London,2004,2,6,60,60,60,10,36,4.76389,2.24996,8,1.125,19714,,
Vilar de Mouros,2017,2,6,40,30,40,8,36,8.25389,1.73028,1,1,16287,,
The Simpsons Mystery of Life,1990,2,4,20,20,20,10,36,4.47222,1.59402,2,1,20441,,
"Armati: Rules and Lists for Ancient, Medieval & Renaissance Wargaming",1994,2,2,120,120,120,12,36,6.86111,1.55282,6,2.8333,13424,,
The Floor is Lava,2018,2,6,0,0,0,5,36,4.78523,1.31592,1,1,19702,,
Nosocomio,2015,2,6,60,60,60,12,36,6.38556,2.09209,3,2.3333,16360,,
Banqi,1970,2,2,15,15,15,10,36,6.08889,1.68206,6,1.5,16364,,
Timberman,2017,2,6,45,20,45,6,36,6.14722,2.05487,0,0,16404,,
Trash Lords,2017,3,5,0,30,0,17,36,7.62167,1.79335,1,2,12900,,
WW2 Quartermaster General,2020,2,6,120,60,120,12,36,7.80694,1.543,2,2,10589,,
Zwickern,1999,3,4,30,30,30,9,36,4.80278,1.51941,4,2,19750,,
Berrymandering,2021,2,2,20,10,20,8,36,6.70278,1.50102,5,1,14602,,
Soccerama,1968,2,6,60,60,60,0,36,5.15278,2.09105,3,1.6667,19601,,
Boom & Zoom (Second Edition),2018,2,2,20,20,20,0,36,6.65,1.96065,1,2,14655,,
Les Dieux Nomades,1994,2,5,300,300,300,0,36,7.225,1.49246,6,3.6667,12753,,
The Dragon's Wrath,1995,2,2,10,10,10,10,36,5.8938,1.77103,2,2,16993,,
Seat Wars,2018,2,4,30,15,30,8,36,7.52639,1.37313,5,1.2,13233,,
Tis The Season: Christmas Trivia,1988,1,5,20,20,20,8,36,4.97222,1.7793,3,1.3333,19514,,
Draco,2010,2,2,15,15,15,6,36,6.20056,1.3882,1,1,15920,,
Downtown,2013,2,4,90,40,90,12,36,6.31111,0.907309,2,2.5,14997,,
Urban War,2005,2,2,60,60,60,12,36,7.06944,1.43175,11,2.7273,12879,,
Football Stars: Jogo de Cartas Ilustradas,2013,2,6,30,30,30,8,36,7.92222,1.30727,4,2.25,13706,,
Puzzle-Memo,2019,2,4,20,15,20,5,36,6.47778,1.44551,0,0,14884,,
Keep Running!,2014,3,8,20,20,20,8,36,5.79861,1.37034,2,1.5,17045,,
Forgotten Axis: The Finnish Campaign,1999,2,2,0,0,0,12,36,5.05556,2.02683,3,3,19486,,
Battlegame Book 3: Galactic War,1975,2,4,30,30,30,7,36,6.11667,1.57806,2,2,16692,,
System 7 Napoleonics,1978,2,2,240,240,240,12,36,6.4375,1.32206,8,2,14882,,
Meeple Towers,2020,2,4,45,45,45,12,36,7.20417,0.929783,1,2,12459,,
Niwa,2017,2,2,20,10,20,7,36,6.81528,1.45692,3,1.6667,13722,,
The Battle of Helm's Deep,1974,2,2,120,120,120,12,36,6.54167,1.47373,7,2.8571,14902,,
SłowoStworki,2013,2,5,20,20,20,6,36,6.375,1.59589,1,1,15019,,
Politricks: Dirty Card Game,2016,2,5,30,15,30,10,36,6.3375,2.12833,3,2,15869,,
Transsib,1996,3,5,90,90,90,0,36,5.65972,1.28175,5,2.4,17139,,
Field of Glory Renaissance,2010,2,4,0,0,0,0,36,7.1875,1.86001,6,3.1667,12075,,
Straszydła,2019,2,4,120,45,120,13,36,7.04167,2.01513,4,3.5,13746,,
"Murfreesboro: A Game of the Battle of Stones River December 31, 1862",1979,2,2,240,240,240,0,36,6.44444,1.72714,6,3.3333,15939,,
Monza: Das Kartenspiel,2011,2,6,15,15,15,4,36,5.90556,1.25564,2,1,16948,,
A Thunder Upon the Land: The Battles of Narva and Poltava,2013,1,2,240,240,240,14,36,6.125,1.31432,8,2.75,15949,,
City,2014,2,5,60,60,60,12,36,6.02083,1.86839,5,2.8,16933,,
Arcade,2015,2,2,30,15,30,8,36,7.71111,1.36275,5,2.8,12199,,1929
Chronopia: War in the Eternal Realm,2002,2,2,90,90,90,12,36,8.09722,1.45688,2,3.5,11059,,
Damn the Torpedoes!,1995,2,6,120,120,120,12,36,4.90556,1.86293,3,1.3333,19592,,
Nouvelles ContRées,2021,2,6,60,60,60,10,36,7.92639,1.46835,2,2.5,10634,,
Ancients: Thapsos & Alexandria,1994,2,2,45,45,45,12,36,5.86667,1.42595,3,1.6667,16744,,
Jetsetters,2007,2,5,20,20,20,7,36,6.34722,0.872572,5,1.4,14962,,
Casablanca,1983,2,8,60,60,60,0,36,6.17778,1.26186,7,1.8571,16006,,
Donkey Derby,2016,2,5,35,25,35,9,36,6.04167,1.30371,2,1,16769,,
Love Formula,2018,2,4,30,15,30,12,36,6.54722,1.92144,0,0,14610,,
Out Of This World,2020,3,5,60,45,60,8,36,6.66472,1.46038,2,1.5,14967,,
Sweetlandia,2021,2,6,30,30,30,8,36,6.65833,1.7967,2,1.5,15971,,
Paras,2019,2,4,40,20,40,8,36,7.24194,1.56353,2,1.5,12158,,
Hunt: The Unknown Quarry,2015,3,6,90,60,90,13,36,5.90278,2.19791,2,2,16860,,
Sabotage,1963,2,4,30,30,30,10,36,5.83333,1.57674,4,1.25,16861,,
Guild Stack,2013,2,4,60,60,60,12,36,6.99028,1.43565,3,3,12888,,
Frontier-6,1980,2,6,60,60,60,10,36,6.32639,1.88545,7,2,16882,,
Anomia Kids,2017,3,6,30,30,30,5,36,6.59242,1.69866,2,1,14408,,
"Eastwall: Battles for the Dnepr, September 1943 - February 1944",1997,1,2,360,360,360,12,36,5.94167,2.11468,11,3,16921,,
Monopoly Gamer: Sonic The Hedgehog,2019,2,4,60,45,60,8,36,6.55,1.63001,2,1,14984,,
Lost Gold,1975,2,2,45,45,45,8,36,5.60417,1.22102,3,1,17960,,
Feste Druff,2005,2,6,20,20,20,10,36,4.54722,1.8159,4,1,20180,,
007 James Bond: Live and Let Die,1985,2,2,45,45,45,8,36,5.43056,1.72865,4,1.25,18562,,
My Little Pony Rainbow Magic Game,2014,2,4,0,0,0,3,36,5.38194,1.76234,4,1,18844,,
Cock Block,2018,2,4,15,15,15,13,36,5.625,2.90205,2,2,18150,,
The Christmas Game,2006,2,4,40,40,40,6,36,4.18056,1.56415,0,0,20589,,
"Mayan Sun, Aztec Destiny: 500 BC – AD 2012 – Beyond∞",2012,2,4,45,45,45,12,36,7.59722,1.40084,2,3,11685,,
Hyves Ranking Game,2010,2,8,45,45,45,12,36,5.16111,1.52321,1,1,18801,,
Runes of Zun,2020,2,4,60,30,60,10,36,7.03148,1.60793,3,1.6667,14134,,
Teratozoic,2014,2,6,60,60,60,13,36,5.5275,2.24068,9,1.8889,18395,,
Drawing Without Dignity: An Adult Party Game of Uncensored Sketches,2016,4,12,60,30,60,17,36,5.53472,1.81444,0,0,18130,,
Great Medieval Battles Bannockburn and Angora,1999,1,2,360,360,360,12,36,6.65833,1.29365,3,2.3333,14782,,
Turtle Shells,2009,2,4,20,20,20,0,36,5.39722,1.6891,1,1,18405,,
O Jogo da Enciclopédia,2000,3,6,60,60,60,10,36,6.37222,1.7699,2,1,15293,,
Movie Trailer,2012,3,8,45,45,45,14,36,5.58056,1.63194,0,0,18118,,
Dindons & Dragons,2003,3,6,30,30,30,10,36,4.12253,1.81325,4,1.75,20626,,
Jurassic Jumble,2004,3,9,10,10,10,6,36,6.22083,1.3949,3,1.3333,15456,,
Pocket Odyssey,2014,2,4,120,120,120,12,36,7.41389,1.33274,2,2,12713,,
Cat 10,2013,2,6,15,15,15,6,36,5.54583,1.71713,2,1.5,18418,,
Empyrean Hero: The Card Game,2021,2,4,60,45,60,14,36,7.86944,1.93417,2,2.5,14485,,
"Defending America: Intercepting the Amerika Bombers, 1947-48",2021,1,1,120,90,120,10,37,8.7027,1.74162,1,2,11255,,
Fatal Frame: The Card Game,2005,2,4,60,60,60,10,36,6.99722,1.19617,7,2.2857,13053,,
Storytelling,2015,2,4,20,15,20,5,36,6.63667,1.89634,3,2,15133,,
Royal Defense,2016,2,4,90,30,90,12,37,7.85946,1.43328,1,2,13006,,
Saratoga: 1777 – Burgoyne vs Gates,1974,2,2,90,90,90,0,36,5.37222,1.31627,7,2.5714,18076,,
How to Host a Murder: Roman Ruins,1996,8,8,180,180,180,18,36,6.35833,1.65754,3,2,14762,,
Famous Divisions: Grossdeutschland Panzer,2011,1,0,600,180,600,0,36,6.76667,1.91703,7,2.5714,14232,,
"Admiral Ackbar ""It\'s a TRAP!"" GAME",2009,2,5,30,30,30,5,36,3.98376,3.52042,7,1.8571,20644,,
20000 Mijlen onder zee,2009,2,5,60,60,60,0,36,5.13056,1.74465,4,2.25,19053,,
Cucina Curiosa,2015,1,4,30,20,30,8,36,6.58694,1.11401,5,1.2,13965,,1977
Crossroll Hong Kong,2019,1,4,40,20,40,8,36,7.42225,0.994448,1,2,11623,,
Monopoly: The Simpsons Electronic Banking Edition,2009,2,6,60,60,60,8,36,5.05556,1.89933,0,0,19863,,
Dad's Army,1974,2,4,0,0,0,8,36,5.20833,1.61321,3,1.3333,19069,,
Scabs `N` Guts,2009,2,0,30,30,30,6,36,5.05556,1.33218,1,1,19173,,
Red Flag Over Paris,2021,1,2,40,20,40,0,37,8.40541,1.03217,9,2.7778,10250,,
Eastern Front 2,2005,2,2,60,60,60,12,36,6.31528,1.67011,9,2,15146,,
Black Stories: Funny Death Edition 2,2014,2,99,222,2,222,12,36,6.47361,1.87659,0,0,14850,,
Creature Castle,1975,2,4,30,30,30,8,36,6.70556,1.77747,3,2,15194,,
King's Life,2017,4,8,30,20,30,10,37,6.225,1.63124,1,2,15152,,
Legends of Wrestling,2002,1,2,30,30,30,10,36,7.86667,1.98116,5,1.2,11643,,
Fort Boyard,1998,2,6,45,45,45,8,36,5.08611,1.28066,2,1,19169,,
The Last Station,2019,5,12,45,20,45,16,36,8.63333,1.6821,1,3,15332,,
The Addams Family Family Reunion Game,1991,2,6,10,10,10,8,36,5.02778,1.75572,1,1,19964,,
Monopoly Gamer: Overwatch Collector's Edition,2019,2,6,0,0,0,13,36,6.675,1.65821,2,1.5,15360,,
Die Seher von Santiiba,2020,2,4,45,30,45,8,36,6.98167,1.05401,2,2,13061,,
Bob the Builder: Scoop's Construction Site Game,1995,2,4,10,10,10,4,36,5.25278,1.78582,4,1,18773,,
Monopoly: Futurama Collector's Edition,2011,2,6,120,120,120,8,36,5.88333,2.2258,4,2.5,18209,,
Shuffle My Little Pony,2014,2,4,20,20,20,5,36,5.48333,1.60252,1,1,18198,,
Turbo Rally Card Racing,2013,2,0,10,10,10,4,36,6.52361,1.51421,8,1.25,15525,,
Penguin Brawl: Heroes of Pentarctica,2018,2,8,90,20,90,10,36,5.86389,1.92904,5,1.4,18775,,
Das Jagdspiel,1954,2,8,45,45,45,8,36,5.6,2.10753,3,1,18658,,
"Linus, der kleine Magier",2013,2,5,10,10,10,3,36,6.21389,1.3317,5,1,15374,,
Gangster Dice,2015,2,4,20,20,20,10,36,7.19722,1.88112,5,1.6,14117,,
X610Z,2009,2,6,30,30,30,12,36,6.91667,1.59208,6,2.5,14801,,
Cave Pilot 55,2017,1,4,100,30,100,14,36,6.58333,2.22629,7,3,18002,,
Fortress Sevastopol,2017,2,2,120,120,120,12,36,8.175,1.73355,5,2.4,14026,,
Dragon Quest: Slime Race,0,2,5,0,0,0,0,36,7.0875,1.5359,3,1.6667,12992,,
Crisis: 2000,1994,2,2,60,60,60,12,36,5.61111,1.77213,7,2.1429,18067,,
Barbarossa 1941,2002,2,2,120,120,120,12,36,6.40972,1.10578,5,3.4,15427,,
Supply Lines of the American Revolution: The Southern Strategy,2018,2,2,120,120,120,0,36,7.45139,1.34348,6,2.5,11342,,
Fast Food!,2018,2,10,15,15,15,4,36,6.79028,1.27005,4,1,14751,,
Ascended,2016,1,4,90,60,90,14,36,6.19444,2.24622,0,0,18597,,
Repeat Pete!,2008,3,8,0,0,0,0,36,5.27406,1.52374,2,1,18569,,
Chicken Time Warp,2019,3,6,30,10,30,14,36,6.80556,1.76099,2,1,15389,,
Auf die Birne,2011,2,5,15,15,15,7,36,5.13889,1.20538,6,1.3333,19037,,
Magia Cum Laude,2017,2,6,60,45,60,8,36,6.75694,1.46188,2,2.5,14311,,
Mucks Mäuschen Still,2009,2,4,15,15,15,5,36,5.49157,1.65608,2,1,18051,,
Quirk!,2017,2,6,30,15,30,7,36,7.13889,2.07368,0,0,15435,,
Panzer Korps,1982,1,2,120,120,120,12,36,7.03194,1.11748,6,1.8333,12993,,
Life & Legend,2016,1,4,60,30,60,10,36,6.75694,2.48292,1,3,17996,,
Versailles,2004,2,6,15,15,15,8,36,5.48889,1.72301,2,1.5,18056,,
The Dukes of Hazzard Card Game,1981,2,8,15,15,15,6,36,4.85,2.11509,6,1.1667,19993,,
Pirato Poker,2014,3,6,15,5,15,8,36,6.86111,1.21021,4,1.5,14283,,
"Cambrai, 1917: The First Blitzkrieg",1974,2,2,120,120,120,12,36,7.16389,1.70394,8,2.375,12631,,
Sky My Husband,2004,2,8,15,15,15,12,36,5.33333,1.69558,3,1,18561,,
Trade,1974,2,4,120,120,120,0,36,6.72222,1.48345,3,2.3333,14288,,
Don't Step In It!,2017,1,99,0,0,0,4,36,3.42917,1.94595,1,1,21073,,
King Ozo,2017,2,5,15,15,15,6,36,5.31778,1.45559,0,0,18564,,
Monopoly Junior: Toy Story,2001,2,4,60,60,60,5,36,4.03889,1.73562,2,1,20595,,
Black Ops: Tactical Espionage Wargaming,2015,2,6,0,0,0,0,36,6.66389,1.40972,2,2.5,14256,,
ZomBee,2015,2,5,20,10,20,7,35,4.98571,1.57428,0,0,19570,,
Jolly Roger,1992,3,5,30,30,30,8,35,5.36571,1.39856,3,1.6667,18574,,
Dragon Ball Z TCG (2014 edition),2014,2,2,20,20,20,8,35,7,1.49284,4,2.5,13606,,
Mapominoes: Africa,2009,2,5,30,30,30,8,35,6.27429,1.26069,1,2,15175,,
Film Frenzy,2003,2,5,0,0,0,0,35,6.49,1.2523,3,1,14885,,
Brauerei,1996,3,6,0,0,0,14,35,5.96143,1.24431,1,3,16748,,
Formel 1 Nürburgring,1985,2,6,60,60,60,10,35,6.34543,1.39278,1,1,14951,,
The Golden Girls: Any Way you Slice it,2018,2,4,45,30,45,12,35,4.95714,1.66635,0,0,19513,,
Double Sens,0,4,16,10,10,10,10,35,5.26143,1.60063,3,1,18692,,
Simon Flash,2011,1,0,0,0,0,8,35,5.26657,1.3746,2,1.5,18681,,
Epic Solitaire Notebook Adventures,2009,1,1,60,60,60,0,35,7.31429,1.54959,5,2.6,12931,,
Crazy Theory,2019,3,6,30,30,30,14,35,6.43048,1.67092,0,0,15180,,
Teraforming,2006,2,4,30,30,30,8,35,4.54286,2.21802,12,1.4167,19982,,
Berserk: Heroes,2015,2,0,0,20,0,14,35,6.53429,1.72178,0,0,15364,,
Operation,2005,2,4,15,15,15,4,35,4.34429,1.49249,3,1,20335,,
Control V,2019,2,4,30,15,30,8,35,7.01143,1.27431,1,1,12639,,
Look Away!,2007,2,2,810,810,810,0,35,6.88571,1.66941,14,3.8571,14191,,
Metric Mile,1986,1,10,0,0,0,10,35,7.37143,1.8605,3,2,12796,,
Cultists & Cthulhu,2016,2,8,35,20,35,8,35,5.85317,1.87533,1,1,16872,,
"Hurtgen Forest: Approach to the Roer, November 1944",1976,2,2,120,120,120,12,35,5.50714,2.03583,7,2.1429,18617,,
Do Not Forsake Me (Oh My Darling),2015,1,1,30,30,30,10,35,5.98,1.39976,3,1.3333,16878,,
Dark Victory: The Battle of the Alamo,1997,2,3,180,180,180,13,35,5.3,1.8754,9,2.8889,19548,,
Biafra!,2007,1,2,30,30,30,0,35,6.01714,1.45553,11,2.2727,16809,,
Scho K.O.,2010,2,2,10,10,10,8,35,6.20857,1.35823,2,1,15966,,
Orbital Conflict,2019,2,4,60,30,60,12,35,7.32857,1.6342,6,3,14842,,
Total Soccer,2008,2,2,15,15,15,6,35,6.63429,1.52389,5,1.4,14616,,
Slap It!,2019,2,8,10,5,10,6,35,6.13286,1.88304,1,1,16890,,
Drago Mago,2003,2,4,20,20,20,8,35,5.25714,1.48503,2,1,19107,,
En tu casa o donde sea,2016,4,7,50,30,50,18,35,5.89,2.04778,1,1,16799,,
Meatgrinder: Battle for  Xuân Lộc 1975,2011,2,2,280,280,280,0,35,6.84286,1.74753,8,3.25,13615,,
Monopoly: Friends The TV Series,2018,2,6,180,60,180,8,35,5.04857,1.97706,1,2,19781,,
Airport,1972,2,4,60,60,60,10,35,5.78,1.3027,5,1.6,16927,,
Start Your Own Riot!,2002,2,6,30,30,30,0,35,4.65751,1.58886,6,1.3333,19979,,
Larceny,2013,3,10,5,5,5,12,35,5.94286,2.53482,4,1.25,18593,,
"Perfidious Albion: Napoleon's (Hypothetical) Invasion of England, 1814",1997,2,2,0,0,0,12,35,5.65714,1.92269,4,2.75,18591,,
Waterloo: Napoleon's Last Battle,2019,2,3,240,180,240,12,35,7.72571,1.76592,6,2.5,12891,,
Monopoly: Elvis Presley 25th Anniversary,2003,2,6,120,120,120,8,35,4.62286,2.30813,2,1.5,19876,,
Robogem,2015,2,4,30,20,30,6,36,4.95139,1.4599,1,1,19561,,
Swordquest,1979,1,3,90,90,90,12,35,5.98,1.5664,3,2,16982,,
Gruntz 15mm Sci-Fi,2010,2,4,90,90,90,10,35,7.91429,1.60127,8,2.625,12435,,
Tank Commander: The Eastern Front,1997,2,4,45,45,45,10,35,5.9,1.86241,8,2.5,17980,,
Heróis de San Villano,2019,1,4,75,45,75,10,35,7.14857,1.76172,2,2.5,12830,,
Smile Life,2018,2,6,60,20,60,12,35,6.65314,2.14442,2,1.5,14915,,
Das Phantom,1993,2,6,45,45,45,10,35,5.17286,1.65622,3,1.3333,19034,,
