primary,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,usersrated,AveRating,stddev,usersweighted,AveWeight,Board Game Rank,Strategy Game Rank,Family Game Rank
CLUE: Firefly Edition,2014,3,6,90,90,90,8,108,6.40093,1.55703,3,2.6667,13139,,
Hunted: Mining Colony 415,2021,1,2,25,15,25,14,109,6.94248,1.44359,5,2,8441,,
Storm Over Normandy,2015,2,2,180,180,180,0,108,7.22269,1.34301,13,2.2308,7336,,
Storytailors,2020,2,6,30,20,30,5,109,6.86872,1.53487,4,1.25,8285,,
The Office Trivia Game,2008,2,6,60,30,60,0,108,5.06944,1.79239,3,1,20904,,
Slaughterball,2016,2,4,60,60,60,14,108,7.72269,1.8392,10,2.5,7661,,
Cat Attack,2002,2,6,120,120,120,10,108,5.50417,1.61904,12,1.75,19141,,
Guelphs and Ghibellines,2009,2,2,240,240,240,0,108,7.79444,1.1618,19,2.6842,6276,,
Potemkin Empire,2019,3,5,45,45,45,14,108,6.37222,1.2343,2,2,10849,,
The Franco-Prussian War,1992,2,2,600,360,600,12,108,6.67963,1.35865,21,3.1429,9158,,
15,2011,2,6,20,20,20,7,108,5.91009,1.18193,7,1.2857,13666,,
Thirty Years War Quad (Second Edition),1995,1,2,180,180,180,12,108,6.88102,1.39557,10,2.3,8249,,
Darkover,1979,2,4,60,60,60,12,108,5.29583,1.75431,8,2.5,19556,,
"Matanikau: Battles on the Matanikau River, Guadalcanal, 1942",1993,2,2,360,360,360,15,108,6.73657,1.22583,13,3.3846,8788,,
Hungry Hamsters,2020,2,6,5,5,5,8,108,6.59204,0.918497,7,1.1429,9146,,
Mindflex,2009,1,4,30,15,30,8,107,4.80187,1.55977,7,1.4286,21066,,
Giraffometer,2015,2,8,40,30,40,10,107,5.67944,1.63311,1,1,17665,,
Are You A Robot?,2019,2,3,2,2,2,8,108,5.58731,1.84907,1,1,17401,,
Anybody's Guess,1990,2,12,45,45,45,16,107,5.83437,1.35858,11,1.3636,14580,,
Barista,2007,2,4,10,10,10,8,108,4.27664,1.91034,8,1.125,21474,,
Mad Scientist,2000,2,4,30,30,30,10,107,4.17991,1.6359,10,1.4,21479,,
Elfengold,1991,2,6,60,60,60,10,107,5.97103,1.43455,10,2.2,14431,,
Mountains,2018,2,5,30,20,30,8,107,5.88411,1.72503,5,1.2,14419,,
Chancellorsville (Second Edition),1974,2,2,90,90,90,12,107,5.87196,1.29274,16,2.4375,14405,,
Trollland,2010,2,5,30,30,30,10,107,5.98224,1.58626,5,1.6,14373,,1999
Air Show,2011,2,5,90,60,90,14,107,6.61075,1.0937,11,2.5455,9142,,
Power Lunch,1994,2,6,45,45,45,10,106,2.74349,1.49894,6,1.5,21690,,
Cindr,2020,1,5,40,30,40,14,107,6.68888,1.62915,3,1.6667,9063,,
6-Jun,1999,2,2,240,240,240,12,107,6.68832,1.49328,23,3.3043,9045,,
Spy Connection,2021,2,4,30,20,30,8,107,6.6972,1.27255,8,1.75,9018,,
Invers,1991,2,2,20,20,20,7,107,5.98925,1.44749,10,1.7,13117,,
Priceless,1996,2,4,45,45,45,13,107,5.96449,1.74116,10,2.4,13987,,
Pug You!,2018,5,10,45,25,45,16,107,3.17153,3.20276,5,1,21669,,
Spammers,1998,2,6,90,90,90,13,106,4.22906,1.72863,7,2.1429,21445,,
Road to the Rhine,1979,2,3,360,360,360,12,107,7.08224,1.41823,16,3.1875,8250,,
Sequence: States & Capitals,2006,2,6,15,15,15,7,107,5.78411,1.32132,6,1,14996,,
