Rk,Name,Inducted,Yrs,From,To,ASG,WAR/pos,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,GDP,SF,SH,BA,OBP,SLG,OPS
37,Rod Carew,1991,19,1967,1985,18,81.2,2469,10550,9315,1424,3053,445,112,92,1015,353,187,1018,1028,144,216,64,128,0.328,0.393,0.429,0.822
156,Tony Lazzeri,1991,14,1926,1939,1,47.6,1740,7314,6297,986,1840,334,115,178,1194,148,82,869,864,40,8,,116,0.292,0.38,0.467,0.846
130,Reggie Jackson,1993,21,1967,1987,14,74,2820,11418,9864,1551,2584,463,49,563,1702,228,115,1375,2597,164,183,68,13,0.262,0.356,0.49,0.846
222,Phil Rizzuto,1994,13,1941,1956,5,42.2,1661,6719,5816,877,1588,239,62,38,563,149,58,651,398,35,107,2,193,0.273,0.351,0.355,0.706
240,Mike Schmidt,1995,18,1972,1989,12,106.9,2404,10062,8352,1506,2234,408,59,548,1595,174,92,1507,1883,201,156,108,16,0.267,0.38,0.527,0.908
9,Richie Ashburn,1995,15,1948,1962,6,64.2,2189,9737,8365,1322,2574,317,109,29,586,234,117,1198,571,40,83,18,112,0.308,0.396,0.382,0.778
88,Nellie Fox,1997,19,1947,1965,15,49.4,2367,10351,9232,1279,2663,355,112,35,790,76,80,719,216,30,175,48,208,0.288,0.348,0.363,0.71
284,Willie Wells,1997,21,1924,1948,10,49.5,1039,4471,3920,932,1292,257,65,140,873,160,,487,,0,,,36,0.33,0.407,0.535,0.943
64,George Davis,1998,20,1890,1909,0,84.9,2372,10188,9045,1545,2665,453,163,73,1440,619,,874,613,,,,184,0.295,0.362,0.405,0.767
72,Larry Doby,1998,17,1942,1959,9,56.8,1674,6920,5883,1080,1697,276,72,273,1099,64,36,945,1011,60,97,25,27,0.288,0.389,0.499,0.888
28,George Brett,1999,21,1973,1993,13,88.6,2707,11625,10349,1583,3154,665,137,317,1596,201,97,1096,908,229,235,120,26,0.305,0.369,0.487,0.857
41,Orlando Cepeda,1999,17,1958,1974,11,50.1,2124,8699,7927,1131,2351,417,27,379,1365,142,80,588,1169,154,218,74,4,0.297,0.35,0.499,0.849
302,Robin Yount,1999,20,1974,1993,3,77.4,2856,12249,11008,1632,3142,583,126,251,1406,271,105,966,1350,95,217,123,104,0.285,0.342,0.43,0.772
185,Bid McPhee,2000,18,1882,1899,0,52.5,2138,9429,8304,1684,2258,303,189,53,1072,568,,982,377,,,,56,0.272,0.355,0.373,0.728
84,Carlton Fisk,2000,24,1969,1993,11,68.5,2499,9853,8756,1276,2356,421,47,376,1330,128,58,849,1386,105,204,79,26,0.269,0.341,0.457,0.797
208,Tony Pérez,2000,23,1964,1986,7,53.9,2777,10861,9778,1272,2732,505,79,379,1652,49,33,925,1867,150,268,106,9,0.279,0.341,0.463,0.804
258,Turkey Stearnes,2000,18,1923,1940,5,49.8,993,4279,3807,917,1326,231,113,187,1009,130,,418,,0,0,,25,0.348,0.417,0.616,1.032
178,Bill Mazeroski,2001,17,1956,1972,10,36.5,2163,8379,7755,769,2016,294,62,138,853,27,23,447,706,110,194,70,87,0.26,0.299,0.367,0.667
295,Dave Winfield,2001,22,1973,1995,12,64.2,2973,12358,11003,1669,3110,540,88,465,1833,223,96,1216,1686,172,319,95,19,0.283,0.353,0.475,0.827
212,Kirby Puckett,2001,12,1984,1995,10,51.1,1783,7831,7244,1071,2304,414,57,207,1085,134,76,450,965,85,188,58,23,0.318,0.36,0.477,0.837
250,Ozzie Smith,2002,19,1978,1996,15,76.9,2573,10778,9396,1257,2460,402,69,28,793,580,148,1072,589,79,167,63,214,0.262,0.337,0.328,0.666
193,Eddie Murray,2003,21,1977,1997,8,68.7,3026,12817,11336,1627,3255,560,35,504,1917,110,43,1333,1516,222,315,128,2,0.287,0.359,0.476,0.836
40,Gary Carter,2003,19,1974,1992,11,70.2,2296,9019,7971,1025,2092,371,31,324,1225,39,42,848,997,106,180,99,33,0.262,0.335,0.439,0.773
190,Paul Molitor,2004,21,1978,1998,7,75.6,2683,12167,10835,1782,3319,605,114,234,1307,504,131,1094,1244,100,209,109,75,0.306,0.369,0.448,0.817
236,Ryne Sandberg,2005,16,1981,1997,10,67.9,2164,9282,8385,1318,2386,403,76,282,1061,344,107,761,1260,59,139,71,31,0.285,0.344,0.452,0.795
24,Wade Boggs,2005,18,1982,1999,12,91.4,2439,10740,9180,1513,3010,578,61,118,1014,24,35,1412,745,180,236,96,29,0.328,0.415,0.443,0.858
263,Ben Taylor,2006,10,1920,1929,0,17.5,627,2600,2329,378,786,135,37,26,449,36,,223,,,,,38,0.337,0.398,0.461,0.858
165,Biz Mackey,2006,22,1920,1947,5,25.8,900,3442,3081,497,1011,167,57,52,604,60,5,298,9,0,0,,47,0.328,0.39,0.47,0.86
270,Cristóbal Torriente,2006,10,1920,1932,0,25.7,646,2613,2235,471,759,140,53,55,532,93,,323,,,,,35,0.34,0.427,0.523,0.951
294,Jud Wilson,2006,21,1923,1945,3,33.3,911,3563,3082,625,1080,203,50,77,728,104,,416,,1,0,0,26,0.35,0.434,0.524,0.958
238,Louis Santop,2006,4,1923,1926,0,2.5,115,378,350,52,111,16,5,7,65,9,0,24,1,,,,3,0.317,0.363,0.451,0.814
261,Mule Suttles,2006,21,1924,1944,5,36.5,909,3623,3220,720,1093,213,75,180,883,85,,370,,2,1,0,18,0.339,0.41,0.62,1.03
120,Pete Hill,2006,5,1920,1925,0,4.2,159,610,508,81,154,22,8,7,84,11,,84,,,,,10,0.303,0.41,0.419,0.829
33,Willard Brown,2006,11,1937,1948,7,20.2,431,1785,1652,332,580,127,44,54,391,80,2,125,7,1,2,0,4,0.351,0.398,0.579,0.977
219,Cal Ripken Jr.,2007,21,1981,2001,19,95.9,3001,12883,11551,1647,3184,603,44,431,1695,36,39,1129,1305,107,350,127,10,0.276,0.34,0.447,0.788
107,Tony Gwynn,2007,20,1982,2001,15,69.2,2440,10232,9288,1383,3141,543,85,135,1138,319,125,790,434,203,259,85,45,0.338,0.388,0.459,0.847
216,Jim Rice,2009,16,1974,1989,8,47.7,2089,9058,8225,1249,2452,373,79,382,1451,58,34,670,1423,77,315,94,5,0.298,0.352,0.502,0.854
98,Joe Gordon,2009,11,1938,1950,9,55.6,1566,6537,5707,914,1530,264,52,253,975,89,60,759,702,87,159,,41,0.268,0.357,0.466,0.822
117,Rickey Henderson,2009,25,1979,2003,10,111.1,3081,13346,10961,2295,3055,510,66,297,1115,1406,335,2190,1694,61,172,67,30,0.279,0.401,0.419,0.82
