Row Index,Column,Value,Q1,Q3,IQR,Lower Bound,Upper Bound,Type
122,AREA,52.31582472,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
130,AREA,85.3415596,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
139,AREA,60.76822985,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
141,AREA,19.57179064,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
154,AREA,27.21652316,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
156,AREA,105.59174084,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
158,AREA,93.26753841,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
162,AREA,1190.21534002,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
163,AREA,92.07653203,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
185,AREA,64.30688439,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
188,AREA,957.46719228,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
189,AREA,342.69549145,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
191,AREA,22.11571068,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
195,AREA,96.85457877,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
201,AREA,34.78530348,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
216,AREA,108.72802238,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
223,AREA,26.43353981,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
230,AREA,51.6553432,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
231,AREA,26.99192652,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
233,AREA,19.71133424,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
244,AREA,73.91080678,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
247,AREA,24.34134505,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
248,AREA,215.5272868,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
250,AREA,716.16304686,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
262,AREA,44.22871071,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
269,AREA,116.58079582,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
288,AREA,20.27045612,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
292,AREA,24.08388864,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
303,AREA,35.28132876,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
312,AREA,44.69652295,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
322,AREA,826.15256661,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
327,AREA,511.12106341,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
343,AREA,33.30838897,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
344,AREA,228.79220565,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
350,AREA,96.71498927,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
368,AREA,33.88266775,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
382,AREA,196.77328222,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
386,AREA,53.03493845,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
388,AREA,224.04205621,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
398,AREA,112.76258708,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
401,AREA,23.4489528,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
403,AREA,33.62462485,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
411,AREA,703.11834606,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
426,AREA,36.18826308,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
427,AREA,88.05265063,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
